# 表情面板的排布：分组\temoji\t中文名\t英文名，按 Unicode 的 CLDR 顺序（面板就照这个排）
# 由 render-panel.py 从 Unicode emoji-test.txt 生成（Unicode License v3），别手改
# group: Smileys & Emotion
Smileys & Emotion	😀	嘿嘿	grinning face
Smileys & Emotion	😃	哈哈	grinning face with big eyes
Smileys & Emotion	😄	笑	grinning face with smiling eyes
Smileys & Emotion	😁	嘻嘻	beaming face with smiling eyes
Smileys & Emotion	😆	笑	grinning squinting face
Smileys & Emotion	😅	冷汗	grinning face with sweat
Smileys & Emotion	🤣	笑	rolling on the floor laughing
Smileys & Emotion	😂	笑	face with tears of joy
Smileys & Emotion	🙂	呵呵	slightly smiling face
Smileys & Emotion	🙃	脸	upside-down face
Smileys & Emotion	🫠	冷笑	melting face
Smileys & Emotion	🫫	cracking face	cracking face
Smileys & Emotion	😉	媚眼	winking face
Smileys & Emotion	😊	害羞	smiling face with smiling eyes
Smileys & Emotion	😇	光环	smiling face with halo
Smileys & Emotion	🥰	爱慕	smiling face with hearts
Smileys & Emotion	😍	红心	smiling face with heart-eyes
Smileys & Emotion	🤩	兴奋	star-struck
Smileys & Emotion	😘	亲亲	face blowing a kiss
Smileys & Emotion	😗	亲亲	kissing face
Smileys & Emotion	☺️	smiling face	smiling face
Smileys & Emotion	😚	亲亲	kissing face with closed eyes
Smileys & Emotion	😙	亲亲	kissing face with smiling eyes
Smileys & Emotion	🥲	喜悦	smiling face with tear
Smileys & Emotion	😋	口水	face savoring food
Smileys & Emotion	😛	吐舌	face with tongue
Smileys & Emotion	😜	单眼	winking face with tongue
Smileys & Emotion	🤪	大眼	zany face
Smileys & Emotion	😝	可怕	squinting face with tongue
Smileys & Emotion	🤑	发财	money-mouth face
Smileys & Emotion	🤗	抱	smiling face with open hands
Smileys & Emotion	🤭	不说	face with hand over mouth
Smileys & Emotion	🫢	哇塞	face with open eyes and hand over mouth
Smileys & Emotion	🫣	偷看	face with peeking eye
Smileys & Emotion	🤫	安静	shushing face
Smileys & Emotion	🤔	想	thinking face
Smileys & Emotion	🫡	军队	saluting face
Smileys & Emotion	🤐	嘴	zipper-mouth face
Smileys & Emotion	🤨	怀疑	face with raised eyebrow
Smileys & Emotion	😐	冷漠	neutral face
Smileys & Emotion	😑	无语	expressionless face
Smileys & Emotion	😶	安静	face without mouth
Smileys & Emotion	🫥	内向	dotted line face
Smileys & Emotion	😶‍🌫️	face in clouds	face in clouds
Smileys & Emotion	😏	假笑	smirking face
Smileys & Emotion	😒	不屑	unamused face
Smileys & Emotion	🙄	无语	face with rolling eyes
Smileys & Emotion	😬	尴尬	grimacing face
Smileys & Emotion	😮‍💨	叹息	face exhaling
Smileys & Emotion	🤥	说谎	lying face
Smileys & Emotion	🫨	地震	shaking face
Smileys & Emotion	🙂‍↔️	head shaking horizontally	head shaking horizontally
Smileys & Emotion	🙂‍↕️	head shaking vertically	head shaking vertically
Smileys & Emotion	😌	松口气	relieved face
Smileys & Emotion	😔	失落	pensive face
Smileys & Emotion	😪	困	sleepy face
Smileys & Emotion	🤤	口水	drooling face
Smileys & Emotion	😴	呼噜	sleeping face
Smileys & Emotion	🫩	眼	face with bags under eyes
Smileys & Emotion	😷	医生	face with medical mask
Smileys & Emotion	🤒	发烧	face with thermometer
Smileys & Emotion	🤕	受伤	face with head-bandage
Smileys & Emotion	🤢	恶心	nauseated face
Smileys & Emotion	🤮	吐	face vomiting
Smileys & Emotion	🤧	喷嚏	sneezing face
Smileys & Emotion	🥵	中暑	hot face
Smileys & Emotion	🥶	冷	cold face
Smileys & Emotion	🥴	喝醉	woozy face
Smileys & Emotion	😵	头晕	face with crossed-out eyes
Smileys & Emotion	😵‍💫	晕	face with spiral eyes
Smileys & Emotion	🤯	惊吓	exploding head
Smileys & Emotion	🤠	帽	cowboy hat face
Smileys & Emotion	🥳	脸	partying face
Smileys & Emotion	🥸	脸	disguised face
Smileys & Emotion	😎	脸	smiling face with sunglasses
Smileys & Emotion	🤓	脸	nerd face
Smileys & Emotion	🧐	古板	face with monocle
Smileys & Emotion	😕	不懂	confused face
Smileys & Emotion	🫤	困惑	face with diagonal mouth
Smileys & Emotion	😟	伤心	worried face
Smileys & Emotion	🙁	委屈	slightly frowning face
Smileys & Emotion	☹️	frowning face	frowning face
Smileys & Emotion	😮	吃惊	face with open mouth
Smileys & Emotion	😯	吃惊	hushed face
Smileys & Emotion	😲	惊	astonished face
Smileys & Emotion	😳	脸	flushed face
Smileys & Emotion	🫪	惊喜	distorted face
Smileys & Emotion	🥺	脸	pleading face
Smileys & Emotion	🥹	哭泣	face holding back tears
Smileys & Emotion	😦	啊	frowning face with open mouth
